槿,무궁화,근
瑾,옥,근
筋,힘줄,근
覲,뵐,근
芩,시금초,금
衾,이불,금
衿,옷깃,금
襟,옷깃,금
扱,거둘,급*/ 즙*
汲,길을,급
兢,삼갈,긍
矜,불쌍히 여길,긍
伎,재주,기
冀,바랄,기
嗜,즐길,기
妓,기생,기
岐,갈림길,기
崎,험할,기
朞,돌,기
杞,구기자,기
棋,바둑,기
飢,주릴,기
旗,깃발,기
惡,악할,악*/ 오*
安,편안할,안
案,책상,안
眼,눈,안
顔,얼굴,안
巖,바위,암
暗,어두울,암
仰,우러러볼,앙
哀,슬플,애
愛,사랑,애
兒,아이,아
也,어조사,야
夜,밤,야
弱,약할,약
藥,약,약
揚,날릴,양
兩,두,양
羊,양,양
洋,큰 바다,양
養,기를,양
讓,사양할,양
熱,더울,열
要,중요할,요
榮,영화,영
藝,재주,예
億,억,억
憶,생각할,억
嚴,엄할,엄
余,나,여
如,같을,여
汝,너,여
與,줄,여
餘,남을,여
亦,또,역
易,쉬울,역*/ 이*
逆,거스를,역
然,그러할,연
硏,갈,연
煙,연기,연
悅,기쁠,열
炎,불꽃,염
葉,잎,엽
迎,맞이할,영
永,길,영
英,꽃부리,영
五,다섯,오
午,낮,오
吾,나,오
悟,깨달을,오
誤,그르칠,오
烏,까마귀,오
瓦,기와,와
臥,엎드릴,와
往,갈,왕
王,임금,왕
外,바깥,외
屋,집,옥
玉,구슬,옥
溫,따뜻할,온
完,완전할,완
右,오른쪽,우
用,쓸,용
元,으뜸,원
原,근원,원
願,원할,원
園,동산,원
遠,멀,원
怨,원망할,원
雨,비,우
友,벗,우
又,또,우
尤,더욱,우
遇,만날,우
憂,근심할,우
雄,수컷,웅
運,운반할,운
云,이를,운
雲,구름,운
圓,둥글,원
曰,가로되,왈
瓦,기와,와
臥,엎드릴,와
汽,김,기
沂,물 이름,기
琦,옥,기
琪,옥,기
璣,구슬,기
畸,기이할,기
碁,바둑,기
祇,지신,기
祺,길할,기
箕,키,기
綺,비단,기
羈,굴레,기
耆,늙은이,기
饑,주릴,기
驥,천리마,기
麒,기린,기
喫,마실,끽
