娘,아가씨,낭*/ 냥*
皮,가죽,피
疲,지칠,피
弼,도울,필
筆,붓,필
畢,마칠,필
乏,모자랄,핍
逼,다그칠,핍
表,겉,표
票,표,표
漂,떠다닐,표
被,입을,피
避,피할,피
必,반드시,필
品,물건,품
풍,바람,풍
豐,풍년,풍
鮑,전복,포
曝,쬘,폭
瀑,폭포,폭
弼,도울,필
乏,모자랄,핍
逼,다그칠,핍
布,베,포
抱,안을,포
胞,태,포
浦,물가,포
飽,배부를,포
捕,잡을,포
幅,폭,폭
標,표,표
瓢,표주박,표
豹,표범,표
稟,아뢸,품
楓,단풍나무,풍
諷,풍자할,풍
豊,풍년,풍
馮,탈,풍
披,헤칠,피
弼,도울,필
乏,모자랄,핍
逼,다그칠,핍
杓,국자,작*/ 표*
瓢,표주박,표
豹,표범,표
稟,아뢸,품
楓,단풍나무,풍
儺,나례,나
拏,잡을,나
那,어찌,나
納,들일,납
奈,어찌,내
捺,누를,날
囊,주머니,낭
男,사내,남
南,남녘,남
暖,따뜻할,난
難,어려울,난
內,안,내
乃,이에,내
腦,뇌,뇌
惱,괴로워할,뇌
紐,끈,뉴
尼,비구니,니
泥,진흙,니
匿,숨을,닉
溺,빠질,닉
寧,편안할,녕*/ 영*
努,힘쓸,노
奴,종,노
農,농사,농
濃,짙을,농
膿,고름,농
訥,말더듬을,눌
念,생각,념
能,능할,능
太,클,태
宅,집,택
歎,탄식할,탄
彈,탄알,탄
炭,숯,탄
誕,태어날,탄
脫,벗을,탈
貪,탐할,탐
塔,탑,탑
湯,끓을,탕
打,칠,타
他,다를,타
妥,마땅할,타
怠,게으를,태
殆,위태할,태
態,모습,태
澤,못,택
擇,가릴,택
探,찾을,탐
泰,클,태
討,칠,토
土,흙,토
吐,토할,토
痛,아플,통
統,거느릴,통
通,통할,통
鬪,싸울,투
透,사무칠,투
投,던질,투
唾,침,타
惰,게으를,타
舵,키,타
陀,비탈,타
駝,낙타,타
卓,높을,탁
濯,씻을,탁
擢,뽑을,탁
琢,쪼을,탁
託,부탁할,탁
鐸,방울,탁
呑,삼킬,탄
坦,평탄할,탄
灘,여울,탄
耽,즐길,탐
蕩,방탕할,탕
兌,바꿀,태
台,대,태
汰,가릴,태
笞,매,태
胎,태,태
苔,이끼,태
撑,버틸,탱
兎,토끼,토
桶,통,통
筒,통,통
堆,쌓을,퇴
退,물러날,퇴
腿,허벅지,퇴
頹,무너질,퇴
套,씌울,투
妬,샘할,투
特,특별할,특
年,해,년
女,여자,녀
內,안,내
農,농사,농
惱,괴로워할,뇌
快,쾌할,쾌
宅,집,택
統,거느릴,통
通,통할,통
打,칠,타
脫,벗을,탈
投,던질,투
破,깨뜨릴,파
篇,책,편
墮,"떨어질, 타락할",타
托,맡길,탁
濁,흐릴,탁
卓,높을,탁
